"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 18 22:23:31 GMT 2022","Tue Jan 18 22:23:31 GMT 2022","0","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","check_team_members_status_is_pending","check_team_members_status_is_pending",""
"passed","Tue Jan 18 22:23:25 GMT 2022","Tue Jan 18 22:23:28 GMT 2022","3759","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_newUserRegistration","verify_newUserRegistration",""
"passed","Tue Jan 18 22:23:34 GMT 2022","Tue Jan 18 22:23:34 GMT 2022","291","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_team_member_is_allowed_to_login_after_approval","verify_team_member_is_allowed_to_login_after_approval",""
"passed","Tue Jan 18 22:23:34 GMT 2022","Tue Jan 18 22:23:35 GMT 2022","514","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_team_member_is_allowed_to_create_transaction","verify_team_member_is_allowed_to_create_transaction",""
"passed","Tue Jan 18 22:23:30 GMT 2022","Tue Jan 18 22:23:30 GMT 2022","344","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","check_after_userlogin_create_company","check_after_userlogin_create_company",""
"passed","Tue Jan 18 22:23:30 GMT 2022","Tue Jan 18 22:23:30 GMT 2022","327","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","after_admin_verification_login_to_user_account","after_admin_verification_login_to_user_account",""
"passed","Tue Jan 18 22:23:33 GMT 2022","Tue Jan 18 22:23:33 GMT 2022","0","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","check_userbydefault_is_disabled_creating_new_transaction","check_userbydefault_is_disabled_creating_new_transaction",""
"passed","Tue Jan 18 22:23:30 GMT 2022","Tue Jan 18 22:23:31 GMT 2022","597","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","user_invites_team_members_to_company","user_invites_team_members_to_company",""
"passed","Tue Jan 18 22:23:34 GMT 2022","Tue Jan 18 22:23:34 GMT 2022","293","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_user1_is_allowed_to_login_after_approval","verify_user1_is_allowed_to_login_after_approval",""
"passed","Tue Jan 18 22:23:25 GMT 2022","Tue Jan 18 22:23:33 GMT 2022","8224","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","testCreateCompanyFlow","testCreateCompanyFlow",""
"passed","Tue Jan 18 22:23:31 GMT 2022","Tue Jan 18 22:23:32 GMT 2022","1213","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_admin_approval_flow_for_team_members","verify_admin_approval_flow_for_team_members",""
"passed","Tue Jan 18 22:23:28 GMT 2022","Tue Jan 18 22:23:30 GMT 2022","1050","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_admin_approval_registration_flow","verify_admin_approval_registration_flow",""
"passed","Tue Jan 18 22:23:33 GMT 2022","Tue Jan 18 22:23:34 GMT 2022","1181","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","verify_post_admin_approval_create_transaction_is_enabled_for_user","verify_post_admin_approval_create_transaction_is_enabled_for_user",""
"passed","Tue Jan 18 22:23:32 GMT 2022","Tue Jan 18 22:23:33 GMT 2022","756","Surefire suite","Surefire test","com.termgrid.api.tests.E2ETests","com.termgrid.api.tests.E2ETests","check_team_members_status_is_accepted_after_admin_approval_flow","check_team_members_status_is_accepted_after_admin_approval_flow",""
